Day,Hour,Marginal Price (Pkr/Kwh)
21,17,14.614267
21,18,11.099799
21,19,11.117438
21,20,24.226044
21,21,24.226044
21,22,14.615877
21,23,30.276617
22,0,24.226044
22,1,24.226044
22,2,30.119715
22,3,30.118469
22,4,30.09035
22,5,30.081997
22,6,30.081997
22,7,30.096014
22,8,31.03662
22,9,30.135176
22,10,29.754705
22,11,13.9352
22,12,13.9352
22,13,14.655776
22,14,24.226044
22,15,31.03662
22,16,24.226044
22,17,24.226044
22,18,13.9352
22,19,24.226044
22,20,24.226044
22,21,29.724177
22,22,32.58111
22,23,32.58111
23,0,32.58111
23,1,30.122631
23,2,30.116996
23,3,30.066649
23,4,30.104367
23,5,30.017661
23,6,30.001124
23,7,5.7796
23,8,5.5309
23,9,12.07316
23,10,14.614957
23,11,14.655316
23,12,12.07316
23,13,14.647512
23,14,24.226044
23,15,29.724721
23,16,29.684951
23,17,29.689586
23,18,14.009241
23,19,14.640181
23,20,29.662749
23,21,29.636369
23,22,24.226044
23,23,24.226044
24,0,29.9426
24,1,24.226044
24,2,24.226044
24,3,24.226044
24,4,14.620002
24,5,14.606463
24,6,14.606463
24,7,14.606693
24,8,24.36568
24,9,24.36568
24,10,24.36568
24,11,14.638802
24,12,24.36568
24,13,24.36568
24,14,24.36568
24,15,24.36568
24,16,24.36568
24,17,24.36568
24,18,30.189798
24,19,30.126822
24,20,24.36568
24,21,24.36568
24,22,32.375662
24,23,32.58111
25,0,32.58111
25,1,35.558512
25,2,34.72346
25,3,24.36568
25,4,14.573219
25,5,14.546155
25,6,24.36568
25,7,14.556935
25,8,24.36568
25,9,24.36568
25,10,24.36568
25,11,24.36568
25,12,24.36568
25,13,24.36568
25,14,24.36568
25,15,24.36568
25,16,24.36568
25,17,14.684435
25,18,12.07316
25,19,32.58111
25,20,24.36568
25,21,24.36568
25,22,30.12535
25,23,30.13526
26,0,24.36568
26,1,24.36568
26,2,14.608993
26,3,12.07316
26,4,5.8601
26,5,5.8601
26,6,5.8083
26,7,14.642467
26,8,14.607383
26,9,14.618852
26,10,14.632147
26,11,14.632377
26,12,14.633757
26,13,24.36568
26,14,24.36568
26,15,24.36568
26,16,24.36568
26,17,24.36568
26,18,24.36568
26,19,24.36568
26,20,24.36568
26,21,24.36568
26,22,24.36568
26,23,32.014348
27,0,35.30563
27,1,35.30563
27,2,35.30563
27,3,35.30563
27,4,32.822843
27,5,32.58111
27,6,24.36568
27,7,24.36568
27,8,14.650731
27,9,12.07316
27,10,12.07316
27,11,14.632147
27,12,14.634217
27,13,14.584581
27,14,24.36568
27,15,24.36568
27,16,24.36568
27,17,24.226044
27,18,24.226044
27,19,24.226044
27,20,24.226044
27,21,30.097467
27,22,32.814211
27,23,32.049359
28,0,35.30563
28,1,35.30563
28,2,32.16803
28,3,29.712818
28,4,29.69631
28,5,24.226044
28,6,14.591329
28,7,14.582619
28,8,14.970165
28,9,14.656682
28,10,14.639262
28,11,14.946104
28,12,14.666325
28,13,14.634447
28,14,14.635366
28,15,24.226044
28,16,13.983619
28,17,14.638112
28,18,14.634907
28,19,14.642927
28,20,24.36568
28,21,24.226044
28,22,31.399848
28,23,31.142405
29,0,32.58111
29,1,29.9426
29,2,24.226044
29,3,24.226044
29,4,24.226044
29,5,14.604867
29,6,13.9352
29,7,13.9352
29,8,14.619772
29,9,14.626413
29,10,14.627103
29,11,14.663336
29,12,13.9352
29,13,24.36568
29,14,14.643157
29,15,14.636732
29,16,10.691292
29,17,5.8083
29,18,5.5309
29,19,5.5309
29,20,5.5309
29,21,12.07316
29,22,12.07316
29,23,14.622977
30,0,14.594318
30,1,14.583079
30,2,15.017313
30,3,12.07316
30,4,12.07316
30,5,12.07316
30,6,11.01529
30,7,5.7796
30,8,24.226044
30,9,24.36568
30,10,13.9352
30,11,13.9352
30,12,14.68925
30,13,14.69865
30,14,13.9352
30,15,13.9352
30,16,5.8601
30,17,5.7796
30,18,5.5309
30,19,5.5309
30,20,24.36568
30,21,24.36568
30,22,24.36568
30,23,24.36568
31,0,24.36568
31,1,14.654166
31,2,14.662187
31,3,14.655776
31,4,14.649351
31,5,14.647742
