Day,Hour,Wind
5,6,0.6438
5,7,0.2448
5,8,0.6024
5,9,0.0096
5,10,0.6942
5,11,0.0786
5,12,1.8672
5,13,1.8756
5,14,2.325
5,15,3.2604
5,16,5.0196
5,17,5.5968
5,18,4.6104
5,19,5.9976
5,20,5.3286
5,21,6.4584
5,22,4.782
5,23,2.1024
6,0,2.3484
6,1,6.2922
6,2,3.867
6,3,1.1178
6,4,0.03
6,5,0.5982
6,6,0.6786
6,7,0.1572
6,8,4.1688
6,9,7.8804
6,10,9.5352
6,11,13.7202
6,12,7.6194
6,13,9.4878
6,14,16.4736
6,15,12.234
6,16,15.9048
6,17,18.1446
6,18,12.993
6,19,11.0718
6,20,14.1516
6,21,13.6614
6,22,21.4116
6,23,19.6476
7,0,21.9792
7,1,25.698
7,2,21.5118
7,3,23.5476
7,4,23.4924
7,5,26.1324
7,6,26.604
7,7,28.3578
7,8,26.7366
7,9,28.2012
7,10,29.319
7,11,29.181
7,12,29.022
7,13,29.2476
7,14,28.9764
7,15,29.187
7,16,29.0796
7,17,28.8414
7,18,28.02
7,19,24.2856
7,20,23.5584
7,21,19.9632
7,22,18.4416
7,23,17.8644
8,0,19.1448
8,1,21.8076
8,2,21.2358
8,3,18.8028
8,4,5.7666
8,5,1.212
8,6,1.2144
8,7,1.2132
8,8,1.2126
8,9,21.684
8,10,28.0908
8,11,27.681
8,12,27.4146
8,13,27.1254
8,14,27.2418
8,15,27.1386
8,16,25.4976
8,17,25.0122
8,18,23.718
8,19,19.1184
8,20,18.6822
8,21,18.0726
8,22,15.4488
8,23,12.456
9,0,9.534
9,1,7.4352
9,2,7.032
9,3,7.7388
9,4,7.0452
9,5,8.9808
9,6,3.7626
9,7,1.2132
9,8,1.212
9,9,20.289
9,10,22.161
9,11,20.5218
9,12,26.1186
9,13,28.5288
9,14,29.004
9,15,29.2584
9,16,29.3028
9,17,29.2038
9,18,29.2098
9,19,28.4574
9,20,26.2518
9,21,22.1532
9,22,21.4716
9,23,20.6604
10,0,20.4714
10,1,23.739
10,2,18.8718
10,3,17.8086
10,4,19.1862
10,5,19.3542
10,6,18.5808
10,7,22.1544
10,8,26.3502
10,9,28.1562
10,10,29.0124
10,11,29.2464
10,12,29.3148
10,13,29.3058
10,14,29.3082
10,15,29.2842
10,16,29.3076
10,17,29.304
10,18,29.3106
10,19,29.1444
10,20,28.2162
10,21,26.3064
10,22,26.0352
10,23,23.6514
11,0,23.292
11,1,25.7598
11,2,28.3746
11,3,28.959
11,4,29.0364
11,5,25.6014
11,6,2.0742
11,7,1.2126
11,8,1.2132
11,9,1.2132
11,10,1.212
11,11,1.2132
11,12,1.2132
11,13,1.2114
11,14,1.2132
11,15,1.212
11,16,15.108
11,17,28.7604
11,18,29.2902
11,19,27.2886
11,20,24.4854
11,21,16.0104
11,22,20.958
11,23,14.9682
12,0,16.2378
12,1,17.217
12,2,18.5106
12,3,16.1634
12,4,17.6304
12,5,15.8316
12,6,15.4224
12,7,15.3816
12,8,18.4974
12,9,17.6748
12,10,15.387
12,11,17.5962
12,12,21.5748
12,13,17.9682
12,14,23.5872
12,15,26.6106
12,16,26.907
12,17,27.549
12,18,25.2774
12,19,17.0778
12,20,12.3096
12,21,13.059
12,22,11.1216
12,23,8.5782
13,0,6.6066
13,1,9.4566
13,2,10.7826
13,3,9.2232
13,4,6.3246
13,5,5.9334
13,6,6.3888
13,7,4.8834
13,8,5.2212
13,9,7.3668
13,10,6.0774
13,11,6.8316
13,12,7.2582
13,13,7.9614
13,14,10.3878
13,15,19.4172
13,16,24.1728
13,17,19.7844
13,18,18.8586
13,19,17.6244
13,20,12.762
13,21,10.452
13,22,11.0328
13,23,10.8648
14,0,9.9294
